gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
852540	4521.3	2.45	0.31	7.90	2.8e-15	1.4e-13
853030	1893.7	1.87	0.28	6.68	2.4e-11	8.6e-10
854908	987.2	-1.92	0.35	-5.49	4.0e-08	9.6e-07
851195	2345.8	1.53	0.22	6.95	3.6e-12	1.5e-10
853981	1567.4	-2.13	0.41	-5.20	2.0e-07	4.1e-06
850497	3201.5	2.78	0.33	8.42	3.7e-17	3.0e-15
850780	1245.9	1.65	0.29	5.69	1.3e-08	3.5e-07
850839	2876.3	-1.34	0.25	-5.36	8.4e-08	1.9e-06
854291	756.8	2.01	0.38	5.29	1.2e-07	2.6e-06
851620	8934.2	0.89	0.12	7.42	1.2e-13	5.0e-12
850513	12456.7	-0.67	0.11	-6.09	1.1e-09	3.2e-08
853169	9876.5	1.12	0.15	7.47	8.0e-14	3.5e-12
853438	7654.3	-0.95	0.14	-6.79	1.1e-11	4.2e-10
851796	543.2	1.78	0.42	4.24	2.2e-05	3.1e-04
852292	1234.5	-1.45	0.34	-4.26	2.0e-05	2.9e-04
853085	876.4	0.34	0.31	1.10	2.7e-01	5.8e-01
854982	1543.2	-0.21	0.28	-0.75	4.5e-01	7.2e-01
855066	2345.1	0.12	0.19	0.63	5.3e-01	7.8e-01
853466	678.9	-0.45	0.39	-1.15	2.5e-01	5.5e-01
852188	3456.7	0.08	0.15	0.53	5.9e-01	8.1e-01
850694	4321.0	1.67	0.24	6.96	3.5e-12	1.5e-10
851890	2109.8	-1.89	0.32	-5.91	3.4e-09	8.7e-08
854416	1876.5	2.23	0.30	7.43	1.1e-13	4.8e-12
856779	3245.6	-0.78	0.18	-4.33	1.5e-05	2.2e-04
852803	945.3	1.34	0.27	4.96	7.0e-07	1.2e-05
